Timestamp,age,nationality,isVegetarian,foodType,priceRange,isTakeAway,frequency,isIndividual,isLikeDriveThrough,time,paymentMethod
8/2/2019 22:47:40,2,1,2,4,2,2,3,2,2,1,1
8/2/2019 22:50:43,1,1,2,4,2,2,1,2,1,1,1
8/2/2019 22:56:36,2,1,2,1,3,2,1,2,1,4,1
8/2/2019 22:59:53,1,1,2,1,4,1,1,2,2,2,1
8/2/2019 23:00:07,2,1,2,"1,2,4",3,1,1,3,2,4,1
8/2/2019 23:04:19,2,1,2,"1,4",2,1,3,2,1,2,1
8/2/2019 23:04:41,2,1,2,"1,2",2,2,1,2,1,1,1
8/2/2019 23:05:06,2,1,1,1,3,1,1,4,1,4,1
8/2/2019 23:08:02,1,2,2,2,1,1,1,3,2,2,1
8/2/2019 23:11:39,1,1,2,1,1,2,2,2,1,2,1
8/2/2019 23:13:18,2,1,2,"1,4",2,1,1,3,1,4,1
8/2/2019 23:13:34,1,1,2,1,2,1,1,2,2,4,1
8/2/2019 23:14:08,2,1,2,"1,2",2,1,1,2,1,2,1
8/2/2019 23:14:22,2,1,2,"1,2,4",3,1,4,2,1,2,1
8/2/2019 23:15:34,2,1,2,1,3,1,2,3,1,4,1
8/2/2019 23:24:36,2,1,2,"1,2,4",2,1,2,2,1,4,1
8/2/2019 23:25:41,2,1,2,"1,2,4",3,2,4,2,2,4,1
8/2/2019 23:25:43,2,1,2,"1,2,4",3,2,4,2,2,4,1
8/2/2019 23:28:59,2,1,2,1,2,1,1,2,1,2,2
8/2/2019 23:32:51,2,1,2,"3,4,5",4,1,3,3,1,4,1
8/2/2019 23:39:54,2,1,2,"1,2,4",2,2,1,2,1,4,1
8/2/2019 23:43:09,1,1,2,4,2,1,2,1,1,4,1
8/2/2019 23:49:55,2,1,2,1,4,2,2,2,1,4,2
8/3/2019 0:18:05,2,2,2,1,1,1,1,2,1,1,1
8/3/2019 0:28:09,2,2,1,"1,2,3,4,5",2,1,1,2,1,4,1
8/3/2019 2:27:50,2,1,2,"1,2,4",1,1,3,4,1,2,2
8/3/2019 3:23:17,1,1,2,"1,2,3,4,5",3,2,3,2,2,4,2
8/3/2019 5:45:50,2,1,2,"1,4,5",3,2,2,2,1,4,2
8/3/2019 6:52:29,2,1,2,"1,4",2,2,2,4,1,2,2
8/3/2019 7:20:21,1,1,2,1,1,2,1,2,1,4,1
8/3/2019 7:23:01,2,1,2,1,2,2,1,2,1,4,2
8/3/2019 8:31:16,2,1,2,1,2,1,3,3,1,3,2
8/3/2019 8:36:33,2,1,2,4,3,2,2,3,1,4,2
8/3/2019 9:20:13,2,1,2,4,2,2,2,2,2,2,1
8/3/2019 9:54:33,2,1,2,"1,2,4,5",2,1,1,2,1,4,1
8/3/2019 9:56:47,2,1,2,1,3,2,1,2,1,4,2
8/3/2019 10:41:21,2,1,2,1,2,1,1,2,1,4,1
8/3/2019 11:12:46,2,1,2,1,2,2,2,4,1,4,1
8/3/2019 11:13:38,2,1,2,1,2,2,2,4,1,4,1
8/3/2019 11:47:42,2,1,2,1,4,2,4,3,1,2,1
8/3/2019 12:07:47,2,1,2,"1,2,4,5",2,1,2,3,2,2,1
8/3/2019 12:13:01,2,1,2,1,1,2,2,2,1,4,2
8/3/2019 12:15:13,2,1,2,4,2,2,1,2,1,2,1
8/3/2019 12:17:02,2,1,2,4,2,2,2,2,1,2,1
8/3/2019 12:54:52,2,1,2,1,3,2,2,4,1,4,2
8/3/2019 13:15:04,1,1,2,1,2,2,1,2,2,4,1
8/3/2019 13:44:41,2,1,2,1,2,2,1,3,2,4,2
8/3/2019 14:47:08,2,1,2,"1,2,4",2,2,1,1,1,1,2
